node_id,longitude,latitude,zone_id,borough
533,-74.003053,40.713917,44,Manhattan
534,-74.003046,40.718026,230,Manhattan
535,-74.003032,40.733215,248,Manhattan
536,-74.003027,40.715592,230,Manhattan
537,-74.002982,40.723308,210,Manhattan
538,-74.002971,40.721995,210,Manhattan
539,-74.00297,40.734252,248,Manhattan
540,-74.002943,40.731136,248,Manhattan
541,-74.002819,40.730913,248,Manhattan
542,-74.00281,40.733611,248,Manhattan
543,-74.002808,40.728365,113,Manhattan
544,-74.002785,40.749592,67,Manhattan
545,-74.002768,40.739328,248,Manhattan
546,-74.002762,40.760176,245,Manhattan
547,-74.002744,40.707216,208,Manhattan
548,-74.002691,40.744622,67,Manhattan
549,-74.002619,40.72488,210,Manhattan
550,-74.0026,40.719903,230,Manhattan
551,-74.002572,40.733372,248,Manhattan
552,-74.002558,40.716181,230,Manhattan
553,-74.002538,40.718627,230,Manhattan
554,-74.002521,40.760085,245,Manhattan
555,-74.002513,40.727601,210,Manhattan
556,-74.002503,40.708846,208,Manhattan
557,-74.002476,40.739731,248,Manhattan
558,-74.002476,40.730337,248,Manhattan
559,-74.002428,40.755074,245,Manhattan
560,-74.002413,40.738767,248,Manhattan
561,-74.002391,40.73434,248,Manhattan
562,-74.00235,40.726496,210,Manhattan
563,-74.002332,40.750209,245,Manhattan
564,-74.002329,40.706708,208,Manhattan
565,-74.002265,40.745207,67,Manhattan
566,-74.00225,40.70652,208,Manhattan
567,-74.002221,40.720341,210,Manhattan
568,-74.002208,40.721621,210,Manhattan
569,-74.002199,40.729693,248,Manhattan
570,-74.002174,40.72293,210,Manhattan
571,-74.002149,40.728036,113,Manhattan
572,-74.002145,40.70815,208,Manhattan
573,-74.002136,40.737066,248,Manhattan
574,-74.002124,40.732841,248,Manhattan
575,-74.002112,40.715166,230,Manhattan
576,-74.002091,40.719153,230,Manhattan
577,-74.002078,40.716731,230,Manhattan
578,-74.002062,40.760713,245,Manhattan
579,-74.002033,40.73813,248,Manhattan
580,-74.002019,40.740444,89,Manhattan
581,-74.001972,40.73507,248,Manhattan
582,-74.001961,40.761295,245,Manhattan
583,-74.001948,40.736414,248,Manhattan
584,-74.001941,40.708253,208,Manhattan
585,-74.001936,40.755745,245,Manhattan
586,-74.001933,40.724552,210,Manhattan
587,-74.001884,40.719398,210,Manhattan
588,-74.001882,40.750828,67,Manhattan
589,-74.001812,40.745826,67,Manhattan
590,-74.001806,40.732949,248,Manhattan
591,-74.00177,40.735762,248,Manhattan
592,-74.001768,40.737675,248,Manhattan
593,-74.00175,40.707719,208,Manhattan
594,-74.001717,40.709439,208,Manhattan
